Id_name,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,SE,OE
wzewmMk_Nzv,0.56,0.55,0.67,0.62,0.59,2,6
MKdgEMd_con,0.72,0.85,0.77,0.27,0.7,4,8
pjlESEZ_rgA,0.56,0.68,0.83,0.45,0.67,3,7
HmakBQy_Zuo,0.64,0.52,0.8,0.32,0.65,4,9
PMoGeaZ_lek,0.65,0.71,0.67,0.48,0.68,2,7
wpdCAFW_TiI,0.66,0.45,0.58,0.45,0.79,4,8
krZcwjd_TUg,0.52,0.62,0.77,0.36,0.67,3,8
WfTccuO_NXE,0.51,0.43,0.4,0.55,0.6,3,6
opJgPXE_gNj,0.7,0.59,0.82,0.29,0.6,4,8
jsjWCIa_tli,0.67,0.62,0.64,0.42,0.71,3,8
ELtDENo_vAU,0.52,0.51,0.49,0.66,0.71,1,6
geJMdRS_bLD,0.61,0.51,0.66,0.62,0.75,2,7
byeCjvS_oUH,0.23,0.5,0.65,0.4,0.29,2,5
CJySiDx_fZS,0.52,0.55,0.53,0.57,0.6,1,6
CFWyWfu_SpR,0.46,0.65,0.57,0.56,0.7,3,6
ybgBimL_qVE,0.5,0.75,0.7,0.775,0.65,4,5
MWSDdZj_QXu,0.6,0.275,0.4,0.3,0.4,2,7
dnPXJXQ_eFB,0.5,0.825,0.95,0.6,0.55,2,5
MlmOdyM_vQZ,0.8,0.975,0.65,0.225,0.6,4,7
oNukcaJ_oiz,0.6,0.65,0.8,0.625,0.65,1,6
KiWvqaM_UZS,0.425,0.6,0.45,0.275,0.5,3,5
zzXHxHz_WTr,0.45,0.825,0.725,0.625,0.85,3,6
bdVZIIm_EuX,0.9,0.95,0.825,0.3,0.75,4,8
kaDCEmY_jDi,0.5,0.625,0.775,0.075,0.675,3,7
VVMgEJO_XFg,0.175,0.575,0.575,0.25,0.475,1,5
VzuYqSz_MHc,0.2,0.55,0.725,0.575,0.6,1,5
thLwHbd_SOt,0.35,0.8,0.475,0.65,0.675,3,3
wDFVbbC_eNY,0.4,0.625,0.425,0.475,0.55,2,4
gwdnjsF_tFL,0.425,0.75,0.5,0.2,0.825,2,6
RnWlbai_Gab,0.8,0.75,0.425,0.475,0.875,3,6
HaKCwkz_Krw,0.85,0.9,0.925,0.225,0.7,3,8
exSnMmq_NJW,0.6,0.65,0.725,0.45,0.7,1,7
EPhoawa_cLI,0.725,0.7,0.675,0.15,0.8,4,8
KTbiJPN_nFG,0.825,0.7,0.6,0.075,0.975,5,8
gvjXeOW_XOE,0.525,0.775,0.625,0.55,0.55,2,5
QYJOylc_eWg,0.75,0.825,0.775,0.4,0.9,4,8
INHfwiw_yNA,0.725,0.75,0.675,0.25,0.85,4,8
QZqsLZn_yPM,0.575,0.675,0.85,0.4,0.7,3,7
